running build_ext
Failed to import optional module imus. Install optional dependencies
Failed to import optional module misc. Install optional dependencies
Using cuda device
Logging to rl/out_dir/models/exp74/PPO_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.02e+03 |
|    ep_rew_mean     | 573      |
| time/              |          |
|    fps             | 308      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 1024     |
---------------------------------
----------------------------------------
| reward                  | -2.8       |
| reward_contact          | -0.0461    |
| reward_ctrl             | 6.04e-05   |
| reward_motion           | 1.47e-06   |
| reward_position         | 0.00022    |
| reward_torque           | -3.44      |
| reward_velocity         | 0.677      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 392        |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 2          |
|    time_elapsed         | 8          |
|    total_timesteps      | 2048       |
| train/                  |            |
|    approx_kl            | 0.15049204 |
|    clip_fraction        | 0.324      |
|    clip_range           | 0.4        |
|    entropy_loss         | -18        |
|    explained_variance   | -7.55e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 209        |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.082     |
|    std                  | 0.368      |
|    value_loss           | 1.18e+03   |
----------------------------------------
----------------------------------------
| reward                  | -2.23      |
| reward_contact          | -0.047     |
| reward_ctrl             | 3.73e-05   |
| reward_motion           | 9.24e-07   |
| reward_position         | 0.000139   |
| reward_torque           | -2.83      |
| reward_velocity         | 0.645      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 481        |
| time/                   |            |
|    fps                  | 230        |
|    iterations           | 3          |
|    time_elapsed         | 13         |
|    total_timesteps      | 3072       |
| train/                  |            |
|    approx_kl            | 0.10099134 |
|    clip_fraction        | 0.217      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.247      |
|    learning_rate        | 0.0003     |
|    loss                 | 93.9       |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.089     |
|    std                  | 0.369      |
|    value_loss           | 857        |
----------------------------------------
----------------------------------------
| reward                  | -2.12      |
| reward_contact          | -0.0474    |
| reward_ctrl             | 3.22e-05   |
| reward_motion           | 8.05e-07   |
| reward_position         | 0.000121   |
| reward_torque           | -2.78      |
| reward_velocity         | 0.706      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 615        |
| time/                   |            |
|    fps                  | 220        |
|    iterations           | 4          |
|    time_elapsed         | 18         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.15403327 |
|    clip_fraction        | 0.278      |
|    clip_range           | 0.4        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.2        |
|    learning_rate        | 0.0003     |
|    loss                 | 18.9       |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.105     |
|    std                  | 0.368      |
|    value_loss           | 672        |
----------------------------------------
----------------------------------------
| reward                  | -2.09      |
| reward_contact          | -0.0475    |
| reward_ctrl             | 2.92e-05   |
| reward_motion           | 7.39e-07   |
| reward_position         | 0.000111   |
| reward_torque           | -2.8       |
| reward_velocity         | 0.755      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 631        |
| time/                   |            |
|    fps                  | 214        |
|    iterations           | 5          |
|    time_elapsed         | 23         |
|    total_timesteps      | 5120       |
| train/                  |            |
|    approx_kl            | 0.13035062 |
|    clip_fraction        | 0.247      |
|    clip_range           | 0.4        |
|    entropy_loss         | -14.1      |
|    explained_variance   | 0.408      |
|    learning_rate        | 0.0003     |
|    loss                 | 67.5       |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.103     |
|    std                  | 0.368      |
|    value_loss           | 684        |
----------------------------------------
Num timesteps: 6000
Best mean reward: -inf - Last mean reward per episode: 630.72
Saving new best model to rl/out_dir/models/exp74/best_model.zip
-----------------------------------------
| reward                  | -2          |
| reward_contact          | -0.047      |
| reward_ctrl             | 2.97e-05    |
| reward_motion           | 6.88e-07    |
| reward_position         | 0.000103    |
| reward_torque           | -2.7        |
| reward_velocity         | 0.75        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 542         |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 6           |
|    time_elapsed         | 28          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.052000042 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16.8       |
|    explained_variance   | 0.789       |
|    learning_rate        | 0.0003      |
|    loss                 | 78.7        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0641     |
|    std                  | 0.368       |
|    value_loss           | 745         |
-----------------------------------------
-----------------------------------------
| reward                  | -2.03       |
| reward_contact          | -0.0472     |
| reward_ctrl             | 2.66e-05    |
| reward_motion           | 6.1e-07     |
| reward_position         | 9.15e-05    |
| reward_torque           | -2.75       |
| reward_velocity         | 0.767       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 550         |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 7           |
|    time_elapsed         | 34          |
|    total_timesteps      | 7168        |
